dia_semana,hora,LINEA,ID,TOTAL
domingo,8,LINEA_A,31,137
domingo,8,LINEA_A,32,88
domingo,8,LINEA_A,33,246
domingo,8,LINEA_A,34,192
domingo,8,LINEA_A,35,321
domingo,8,LINEA_A,36,71
domingo,8,LINEA_A,37,119
domingo,8,LINEA_A,38,726
domingo,8,LINEA_A,39,281
domingo,8,LINEA_A,40,190
domingo,8,LINEA_A,41,242
domingo,8,LINEA_A,42,287
domingo,8,LINEA_A,43,475
domingo,8,LINEA_A,70,289
domingo,8,LINEA_A,75,270
domingo,8,LINEA_A,76,100
domingo,8,LINEA_A,82,391
domingo,8,LINEA_A,83,639
domingo,8,LINEA_B,20,106
domingo,8,LINEA_B,21,634
domingo,8,LINEA_B,22,202
domingo,8,LINEA_B,23,332
domingo,8,LINEA_B,24,173
domingo,8,LINEA_B,25,267
domingo,8,LINEA_B,26,332
domingo,8,LINEA_B,27,479
domingo,8,LINEA_B,28,364
domingo,8,LINEA_B,29,386
domingo,8,LINEA_B,30,263
domingo,8,LINEA_B,66,904
domingo,8,LINEA_B,72,541
domingo,8,LINEA_B,73,148
domingo,8,LINEA_B,74,281
domingo,8,LINEA_B,80,202
domingo,8,LINEA_B,81,677
domingo,8,LINEA_C,13,2264
domingo,8,LINEA_C,14,139
domingo,8,LINEA_C,15,49
domingo,8,LINEA_C,16,94
domingo,8,LINEA_C,17,180
domingo,8,LINEA_C,18,251
domingo,8,LINEA_C,19,3408
domingo,8,LINEA_C,57,122
domingo,8,LINEA_C,58,196
domingo,8,LINEA_D,6,87
domingo,8,LINEA_D,7,198
domingo,8,LINEA_D,8,137
domingo,8,LINEA_D,9,264
domingo,8,LINEA_D,10,269
domingo,8,LINEA_D,11,368
domingo,8,LINEA_D,12,486
domingo,8,LINEA_D,54,352
domingo,8,LINEA_D,55,169
domingo,8,LINEA_D,56,162
domingo,8,LINEA_D,62,283
domingo,8,LINEA_D,63,269
domingo,8,LINEA_D,64,260
domingo,8,LINEA_D,65,239
domingo,8,LINEA_D,69,240
domingo,8,LINEA_D,71,642
domingo,8,LINEA_E,44,51
domingo,8,LINEA_E,45,23
domingo,8,LINEA_E,46,163
domingo,8,LINEA_E,47,89
domingo,8,LINEA_E,48,32
domingo,8,LINEA_E,49,60
domingo,8,LINEA_E,50,99
domingo,8,LINEA_E,51,67
domingo,8,LINEA_E,52,64
domingo,8,LINEA_E,53,98
domingo,8,LINEA_E,59,35
domingo,8,LINEA_E,60,81
domingo,8,LINEA_E,61,85
domingo,8,LINEA_E,67,132
domingo,8,LINEA_E,68,42
domingo,8,LINEA_H,1,229
domingo,8,LINEA_H,2,189
domingo,8,LINEA_H,3,248
domingo,8,LINEA_H,4,338
domingo,8,LINEA_H,5,416
domingo,8,LINEA_H,77,133
domingo,8,LINEA_H,78,311
domingo,8,LINEA_H,79,332
domingo,8,LINEA_H,84,154
domingo,8,LINEA_H,85,287
domingo,8,LINEA_H,86,224
domingo,9,LINEA_A,31,112
domingo,9,LINEA_A,32,77
domingo,9,LINEA_A,33,214
domingo,9,LINEA_A,34,295
domingo,9,LINEA_A,35,395
domingo,9,LINEA_A,36,107
domingo,9,LINEA_A,37,163
domingo,9,LINEA_A,38,844
domingo,9,LINEA_A,39,326
domingo,9,LINEA_A,40,396
domingo,9,LINEA_A,41,358
domingo,9,LINEA_A,42,420
domingo,9,LINEA_A,43,455
domingo,9,LINEA_A,70,274
domingo,9,LINEA_A,75,378
domingo,9,LINEA_A,76,193
domingo,9,LINEA_A,82,488
domingo,9,LINEA_A,83,827
domingo,9,LINEA_B,20,153
domingo,9,LINEA_B,21,721
domingo,9,LINEA_B,22,334
domingo,9,LINEA_B,23,439
domingo,9,LINEA_B,24,327
domingo,9,LINEA_B,25,364
domingo,9,LINEA_B,26,523
domingo,9,LINEA_B,27,643
domingo,9,LINEA_B,28,475
domingo,9,LINEA_B,29,547
domingo,9,LINEA_B,30,365
domingo,9,LINEA_B,66,1393
domingo,9,LINEA_B,72,513
domingo,9,LINEA_B,73,152
domingo,9,LINEA_B,74,312
domingo,9,LINEA_B,80,213
domingo,9,LINEA_B,81,900
domingo,9,LINEA_C,13,2516
domingo,9,LINEA_C,14,193
domingo,9,LINEA_C,15,68
domingo,9,LINEA_C,16,209
domingo,9,LINEA_C,17,151
domingo,9,LINEA_C,18,305
domingo,9,LINEA_C,19,3988
domingo,9,LINEA_C,57,216
domingo,9,LINEA_C,58,208
domingo,9,LINEA_D,6,164
domingo,9,LINEA_D,7,271
domingo,9,LINEA_D,8,194
domingo,9,LINEA_D,9,361
domingo,9,LINEA_D,10,344
domingo,9,LINEA_D,11,422
domingo,9,LINEA_D,12,642
domingo,9,LINEA_D,54,455
domingo,9,LINEA_D,55,294
domingo,9,LINEA_D,56,349
domingo,9,LINEA_D,62,349
domingo,9,LINEA_D,63,315
domingo,9,LINEA_D,64,335
domingo,9,LINEA_D,65,420
domingo,9,LINEA_D,69,277
domingo,9,LINEA_D,71,833
domingo,9,LINEA_E,44,151
domingo,9,LINEA_E,45,49
domingo,9,LINEA_E,46,274
domingo,9,LINEA_E,47,98
domingo,9,LINEA_E,48,105
domingo,9,LINEA_E,49,146
domingo,9,LINEA_E,50,189
domingo,9,LINEA_E,51,217
domingo,9,LINEA_E,52,141
domingo,9,LINEA_E,53,211
domingo,9,LINEA_E,59,68
domingo,9,LINEA_E,60,196
domingo,9,LINEA_E,61,202
domingo,9,LINEA_E,67,349
domingo,9,LINEA_E,68,103
domingo,9,LINEA_H,1,311
domingo,9,LINEA_H,2,275
domingo,9,LINEA_H,3,348
domingo,9,LINEA_H,4,473
domingo,9,LINEA_H,5,512
domingo,9,LINEA_H,77,178
domingo,9,LINEA_H,78,374
domingo,9,LINEA_H,79,505
domingo,9,LINEA_H,84,223
domingo,9,LINEA_H,85,337
domingo,9,LINEA_H,86,277
domingo,10,LINEA_A,31,171
domingo,10,LINEA_A,32,90
domingo,10,LINEA_A,33,347
domingo,10,LINEA_A,34,307
domingo,10,LINEA_A,35,571
domingo,10,LINEA_A,36,143
domingo,10,LINEA_A,37,250
domingo,10,LINEA_A,38,1054
domingo,10,LINEA_A,39,516
domingo,10,LINEA_A,40,417
domingo,10,LINEA_A,41,457
domingo,10,LINEA_A,42,486
domingo,10,LINEA_A,43,563
domingo,10,LINEA_A,70,267
domingo,10,LINEA_A,75,430
domingo,10,LINEA_A,76,237
domingo,10,LINEA_A,82,553
domingo,10,LINEA_A,83,925
